ID,Title,Trailer ID,SentimentScore
131,Vampires Suck,Gw1oGbdXzoU,0.69
132,Lottery Ticket,N2u5JvA5sCs,0.53
133,Nanny McPhee and the Big Bang,54xMw6eouOM,0.75
134,Piranha,p7ezzRGIpH4,0.4821428571428571
135,The Switch,sTDzGVO-C38,0.490566037735849
136,The Army of Crime,8qJy8AZNFbs,0.6
137,The Last Exorcism,F3cI0pArMA0,0.4086021505376344
138,Takers,Z1JXKCProqA,0.6
139,Avatar,5PSNL1qE6VY,0.7
140,Centurion,KOZs2_i_cDE,0.56
141,The American,hPYRslx1w4Y,0.5542168674698795
142,Going the Distance,hU4YbHeoYGs,0.5151515151515151
143,Machete,GuDF9CEtFwE,0.2916666666666667
144,Resident Evil: Afterlife,SRRN6MvCdeg,0.55
145,Never Let Me Go,sXiRZhDEo8A,0.61
146,Alpha and Omega,F6hpN2t7_lc,0.63
147,Devil,wYy7igKD21A,0.7
148,Easy A,KNbPnqyvItk,0.77
149,The Town,WcXt9aUMbBk,0.7
150,Catfish,BuE98oeL-e0,0.65
151,Leaves of Grass,RR4syp8Nhs8,0.875
152,You Will Meet a Tall Dark Stranger,BMOpyl14mII,0.46875
154,Wall Street: Money Never Sleeps,HcMFA2SHES4,0.53
156,Case 39,Cd9t9yHK7Mw,0.7
157,Let Me In,x3guLR8aBpU,0.7
158,The Social Network,lB95KLmpLR4,0.77
159,It's Kind of a Funny Story,uXU3BDvq-sQ,0.64
160,Life as We Know It,AEa9kbnyzEE,0.79
161,My Soul to Take,LjOibAVPQKk,0.57
162,Secretariat,UKmuvjL2cVw,0.92
163,I Spit on Your Grave,k-66qwVmJy0,0.5454545454545454
164,Inside Job,FzrBurlJUNk,0.59
165,Stone,evhh3NE3fyw,0.4756097560975609
166,Wild Target,PmS3ePcA6VU,0.8
167,Jackass 3D,WxOGwCH9nTM,0.46
168,Red,-JZ_moituIo,0.6
169,Conviction,NrPtr0aQx3s,0.88
